trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",35,0,-178.40051031878545,"{0: 19, 1: 2, 2: 11, 3: 2, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.8999999999999999}",20,0,-161.6566438813749,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.6, 'e': 0.8499999999999999}",20,0,-28.562303052406886,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.7999999999999998}",25,0,-168.7898820821786,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.7499999999999998}",20,0,-62.32156602990164,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.6999999999999997}",20,0,-56.34490552520773,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.6499999999999997}",20,6,-50.80580207576998,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
8,False,"{'a': 0.6, 'e': 0.5999999999999996}",20,0,14.411892061098182,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.5499999999999996}",20,0,-53.11115688345236,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.4999999999999996}",20,8,8.79930806837979,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.6, 'e': 0.4499999999999996}",30,0,-175.7663028784363,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.39999999999999963}",25,10,-6.573414796711036,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.34999999999999964}",30,0,-128.86856439176395,"{0: 23, 1: 0, 2: 2, 3: 3, 4: 2}",0
14,False,"{'a': 0.6, 'e': 0.29999999999999966}",20,0,20.4964349117464,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.24999999999999967}",20,12,-69.67020779083374,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
16,False,"{'a': 0.6, 'e': 0.19999999999999968}",30,0,-43.76171142706957,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.1499999999999997}",20,0,-71.59602848065632,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.6, 'e': 0.09999999999999969}",20,0,-23.83214227539831,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.049999999999999684}",20,0,-47.21737806183854,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.6, 'e': -3.191891195797325e-16}",20,4,-14.361314216116547,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,20.056976363797443,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,11,15.920275441900536,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,4,-24.598298940641197,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,11,8.188339170254935,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,24.592348661624296,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-32.4536360661907,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-40.157916780907286,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,36.643653384308855,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,29.69583926376537,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,6,25.76074572538079,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
