trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.99}",25,17,-23.203699006265442,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.6, 'e': 0.9801}",35,12,-310.0598677916237,"{0: 7, 1: 0, 2: 10, 3: 1, 4: 5}",1
3,False,"{'a': 0.6, 'e': 0.970299}",20,13,-22.567330449642874,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.6, 'e': 0.96059601}",25,15,-69.94102253363108,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.6, 'e': 0.9509900498999999}",25,15,-70.25756175811765,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.6, 'e': 0.941480149401}",30,20,-31.22419654465251,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.6, 'e': 0.9320653479069899}",20,16,7.200558828423113,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.6, 'e': 0.9227446944279201}",20,13,-23.279084532395483,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.6, 'e': 0.9135172474836408}",25,10,-153.60460276632801,"{0: 5, 1: 0, 2: 8, 3: 0, 4: 2}",1
10,False,"{'a': 0.6, 'e': 0.9043820750088044}",25,12,-116.83327461653438,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 2}",1
11,False,"{'a': 0.6, 'e': 0.8953382542587164}",20,12,-32.79133148575866,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.6, 'e': 0.8863848717161292}",25,15,-38.96874188408145,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.8775210229989678}",20,12,-7.42693611571304,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.8687458127689782}",20,2,-281.8526497569059,"{0: 5, 1: 0, 2: 7, 3: 1, 4: 5}",1
15,False,"{'a': 0.6, 'e': 0.8600583546412884}",20,12,-51.21789787722503,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.6, 'e': 0.8514577710948755}",30,21,-36.933020571686264,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.6, 'e': 0.8429431933839268}",20,13,-23.60055916322344,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.8345137614500875}",25,18,-42.211278242558585,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.6, 'e': 0.8261686238355866}",35,20,-110.6070487982926,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 2}",1
20,False,"{'a': 0.6, 'e': 0.8179069375972308}",25,12,-152.24353439518194,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 3}",1
21,False,"{'a': 0.6, 'e': 0.8097278682212584}",20,6,-90.19942335868701,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 1}",1
22,False,"{'a': 0.6, 'e': 0.8016305895390459}",30,19,-75.09132568835427,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 1}",1
23,False,"{'a': 0.6, 'e': 0.7936142836436554}",25,17,-48.87057216725346,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.6, 'e': 0.7856781408072188}",25,20,10.780918602512358,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.6, 'e': 0.7778213593991467}",30,11,-166.67501017991046,"{0: 7, 1: 0, 2: 10, 3: 0, 4: 2}",1
26,False,"{'a': 0.6, 'e': 0.7700431458051551}",20,6,-42.44698357646583,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
27,False,"{'a': 0.6, 'e': 0.7623427143471035}",20,12,-21.647224559285323,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.6, 'e': 0.7547192872036326}",20,11,-49.15355060458895,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 0}",1
29,False,"{'a': 0.6, 'e': 0.7471720943315961}",30,22,-15.437764131371448,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.7397003733882802}",20,16,8.011420873124774,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.6, 'e': 0.7323033696543975}",20,10,-58.33046006411037,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.6, 'e': 0.7249803359578534}",30,6,-142.68161755044378,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 1}",1
33,False,"{'a': 0.6, 'e': 0.7177305325982749}",35,21,-62.006336851785534,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
34,False,"{'a': 0.6, 'e': 0.7105532272722921}",20,13,-59.307949645879866,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
35,False,"{'a': 0.6, 'e': 0.7034476949995692}",20,16,7.259778619702588,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.6, 'e': 0.6964132180495735}",30,8,-201.568406508432,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 5}",1
37,False,"{'a': 0.6, 'e': 0.6894490858690777}",25,13,-24.354863959529663,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.682554595010387}",20,12,-23.660707517460107,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.6757290490602831}",20,10,-35.5761436703212,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.6, 'e': 0.6689717585696803}",30,19,-55.72374461018274,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.6, 'e': 0.6622820409839835}",25,7,-185.60319642564906,"{0: 7, 1: 0, 2: 8, 3: 0, 4: 3}",1
42,False,"{'a': 0.6, 'e': 0.6556592205741436}",25,10,-74.61571229661196,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
43,False,"{'a': 0.6, 'e': 0.6491026283684022}",20,9,-13.518069580814927,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.6, 'e': 0.6426116020847181}",30,20,-1.234304051866148,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.6, 'e': 0.6361854860638709}",25,5,-144.9368589380225,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",1
46,False,"{'a': 0.6, 'e': 0.6298236312032323}",20,11,-69.2599814631086,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.6, 'e': 0.6235253948912}",30,13,-16.017953233983224,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.6, 'e': 0.617290140942288}",30,13,-131.44662774166628,"{0: 7, 1: 0, 2: 7, 3: 2, 4: 1}",1
49,False,"{'a': 0.6, 'e': 0.611117239532865}",25,15,-4.934260592889558,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.6050060671375364}",20,9,-60.28386100011606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
51,False,"{'a': 0.6, 'e': 0.598956006466161}",20,11,-17.30224437990233,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.5929664464014994}",25,17,-51.686179767974664,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
53,False,"{'a': 0.6, 'e': 0.5870367819374844}",20,13,14.544736412157507,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.5811664141181095}",25,13,-1.9986797653749941,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.6, 'e': 0.5753547499769285}",20,12,-19.44313660695085,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.6, 'e': 0.5696012024771592}",20,13,-60.02024017976314,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
57,False,"{'a': 0.6, 'e': 0.5639051904523875}",20,13,-61.2070307303507,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
58,False,"{'a': 0.6, 'e': 0.5582661385478637}",20,13,-20.980977598321225,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.6, 'e': 0.5526834771623851}",20,16,8.143950727531198,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.6, 'e': 0.5471566423907612}",20,12,-11.595674043419564,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.6, 'e': 0.5416850759668536}",20,13,-7.4198312784656775,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.536268225207185}",30,22,-7.526111733289972,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.6, 'e': 0.5309055429551132}",25,7,-58.34776171008191,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 0}",1
64,False,"{'a': 0.6, 'e': 0.525596487525562}",30,8,-62.81292803323118,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 1}",1
65,False,"{'a': 0.6, 'e': 0.5203405226503064}",25,15,-35.74017735274026,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.6, 'e': 0.5151371174238033}",25,16,16.477988087760913,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.6, 'e': 0.5099857462495653}",20,12,-80.20376427115195,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.6, 'e': 0.5048858887870696}",30,17,-13.00654952310487,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.6, 'e': 0.4998370298991989}",25,11,-114.3041585803465,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 2}",1
70,False,"{'a': 0.6, 'e': 0.49483865960020695}",20,8,-54.34743665667344,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.6, 'e': 0.4898902730042049}",20,2,-89.12684389975301,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
72,False,"{'a': 0.6, 'e': 0.48499137027416284}",20,10,-36.78666888749938,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
73,False,"{'a': 0.6, 'e': 0.4801414565714212}",20,6,-33.39305535300987,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
74,False,"{'a': 0.6, 'e': 0.47534004200570695}",35,18,-100.95357747587146,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
75,False,"{'a': 0.6, 'e': 0.4705866415856499}",20,13,-31.189729631493933,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
76,False,"{'a': 0.6, 'e': 0.46588077516979337}",30,17,-61.79824899595328,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.6, 'e': 0.46122196741809546}",25,13,0.2654018468613968,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.6, 'e': 0.4566097477439145}",25,8,-70.15545193251592,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
79,False,"{'a': 0.6, 'e': 0.45204365026647536}",20,12,12.936487935980603,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.6, 'e': 0.4475232137638106}",25,12,-44.063368237691776,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
81,False,"{'a': 0.6, 'e': 0.4430479816261725}",20,10,-16.6290787272014,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.6, 'e': 0.43861750180991077}",35,12,-113.89698826618776,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 1}",1
