trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-35.99766844210626,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-202.97772510754533,"{0: 16, 1: 0, 2: 10, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,14,-76.23241953744946,"{0: 9, 1: 4, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-19.092190370519194,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-269.7637025178677,"{0: 17, 1: 4, 2: 9, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-27.406531852656098,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-86.64398972159616,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-254.76575534444206,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-174.4838087255614,"{0: 14, 1: 8, 2: 3, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-85.33329653080602,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-118.823944230504,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,4,-51.16952087970274,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-77.66235218938655,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-44.31439136270359,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-114.75157081806796,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-112.44938749556218,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-89.53440488777116,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-185.96153892391624,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-164.40176558689575,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-142.74561750734563,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",35,0,-159.78217561843192,"{0: 18, 1: 8, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-118.61299747843317,"{0: 11, 1: 8, 2: 3, 3: 3, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",35,4,-224.38292848437058,"{0: 17, 1: 0, 2: 9, 3: 2, 4: 3}",1
4,True,"{'a': 0, 'e': 0}",20,10,-37.29839630637431,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-135.43360847691048,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-42.364539664762965,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-60.31969908637856,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-94.80039160899453,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-155.3267799542163,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-261.25348323564106,"{0: 11, 1: 1, 2: 7, 3: 2, 4: 4}",0
